date;location_key;mobility_retail_and_recreation;mobility_grocery_and_pharmacy;mobility_parks;mobility_transit_stations;mobility_workplaces;mobility_residential
18/03/2020;BE_VOV;-60;-11;-5;-58;-50;19
19/03/2020;BE_VOV;-73;-18;-24;-68;-59;27
20/03/2020;BE_VOV;-78;-16;-57;-73;-60;31
21/03/2020;BE_VOV;-82;-32;-32;-63;-46;21
22/03/2020;BE_VOV;-75;-31;-17;-54;-42;15
23/03/2020;BE_VOV;-72;-21;-16;-69;-63;26
24/03/2020;BE_VOV;-70;-16;-5;-68;-63;27
25/03/2020;BE_VOV;-74;-25;-17;-68;-62;24
26/03/2020;BE_VOV;-74;-19;-21;-70;-64;29
27/03/2020;BE_VOV;-76;-14;-30;-69;-63;31
28/03/2020;BE_VOV;-80;-29;-42;-64;-47;21
29/03/2020;BE_VOV;-81;-40;-63;-71;-46;17
30/03/2020;BE_VOV;-74;-26;-37;-71;-63;27
31/03/2020;BE_VOV;-72;-19;-17;-70;-63;27
01/04/2020;BE_VOV;-73;-27;-21;-68;-61;24
02/04/2020;BE_VOV;-75;-22;-39;-72;-63;29
03/04/2020;BE_VOV;-76;-13;-42;-70;-62;31
04/04/2020;BE_VOV;-80;-24;-35;-61;-45;21
05/04/2020;BE_VOV;-73;-20;-16;-51;-41;14
06/04/2020;BE_VOV;-72;-24;-26;-68;-64;26
07/04/2020;BE_VOV;-68;-13;0;-65;-63;26
08/04/2020;BE_VOV;-70;-19;-2;-63;-61;23
09/04/2020;BE_VOV;-70;-12;-7;-66;-64;27
10/04/2020;BE_VOV;-72;-6;-18;-64;-64;29
11/04/2020;BE_VOV;-76;-16;-22;-55;-42;19
12/04/2020;BE_VOV;-69;-25;-28;-53;-39;14
13/04/2020;BE_VOV;-86;-74;-33;-80;-88;35
14/04/2020;BE_VOV;-69;-2;-30;-70;-64;27
15/04/2020;BE_VOV;-71;-19;-16;-65;-61;24
16/04/2020;BE_VOV;-70;-12;-6;-65;-63;27
17/04/2020;BE_VOV;-73;-10;-23;-66;-62;29
18/04/2020;BE_VOV;-78;-27;-58;-64;-41;22
19/04/2020;BE_VOV;-71;-23;-24;-53;-34;14
20/04/2020;BE_VOV;-64;-22;-15;-63;-58;24
21/04/2020;BE_VOV;-63;-15;-5;-63;-57;24
22/04/2020;BE_VOV;-65;-19;-6;-60;-55;21
23/04/2020;BE_VOV;-64;-11;-1;-61;-57;24
24/04/2020;BE_VOV;-68;-9;-27;-62;-56;27
25/04/2020;BE_VOV;-73;-20;-28;-53;-34;19
26/04/2020;BE_VOV;-66;-14;-7;-44;-29;13
27/04/2020;BE_VOV;-62;-20;1;-60;-55;22
28/04/2020;BE_VOV;-66;-16;-46;-67;-55;25
29/04/2020;BE_VOV;-66;-15;-38;-64;-53;21
30/04/2020;BE_VOV;-56;9;-29;-63;-55;24
01/05/2020;BE_VOV;-83;-67;-40;-77;-84;38
02/05/2020;BE_VOV;-67;-9;-35;-56;-33;19
03/05/2020;BE_VOV;-65;-18;-13;-46;-28;13
04/05/2020;BE_VOV;-53;-13;0;-58;-51;20
05/05/2020;BE_VOV;-53;-9;15;-57;-50;21
06/05/2020;BE_VOV;-54;-13;17;-53;-48;18
07/05/2020;BE_VOV;-53;-5;15;-56;-50;21
08/05/2020;BE_VOV;-57;-1;2;-54;-49;23
09/05/2020;BE_VOV;-62;-9;14;-41;-25;14
10/05/2020;BE_VOV;-53;-8;-42;-44;-10;10
11/05/2020;BE_VOV;-38;-12;-20;-54;-47;19
12/05/2020;BE_VOV;-36;-4;3;-52;-46;19
13/05/2020;BE_VOV;-41;-9;-5;-49;-44;17
14/05/2020;BE_VOV;-42;-1;-2;-49;-46;20
15/05/2020;BE_VOV;-46;2;-6;-43;-43;20
16/05/2020;BE_VOV;-51;-6;-10;-31;-16;14
17/05/2020;BE_VOV;-53;3;22;-22;-9;9
18/05/2020;BE_VOV;-31;-4;19;-40;-42;16
19/05/2020;BE_VOV;-29;6;31;-39;-41;15
20/05/2020;BE_VOV;-21;21;32;-37;-41;12
21/05/2020;BE_VOV;-66;-51;75;-54;-82;26
22/05/2020;BE_VOV;-35;14;-10;-51;-65;24
23/05/2020;BE_VOV;-45;-8;-6;-32;-11;13
24/05/2020;BE_VOV;-52;-3;8;-26;-7;9
25/05/2020;BE_VOV;-25;-4;30;-40;-41;15
26/05/2020;BE_VOV;-25;2;43;-38;-38;14
27/05/2020;BE_VOV;-28;-2;38;-38;-38;13
28/05/2020;BE_VOV;-29;6;30;-39;-39;16
29/05/2020;BE_VOV;-36;10;19;-37;-38;16
30/05/2020;BE_VOV;-39;5;21;-21;3;8
31/05/2020;BE_VOV;-48;18;40;-13;6;5
01/06/2020;BE_VOV;-58;-54;122;-51;-80;23
02/06/2020;BE_VOV;-17;22;47;-32;-36;12
03/06/2020;BE_VOV;-26;1;35;-32;-34;11
04/06/2020;BE_VOV;-31;4;-10;-38;-36;15
05/06/2020;BE_VOV;-38;3;-29;-40;-34;17
06/06/2020;BE_VOV;-36;-1;-14;-28;0;11
07/06/2020;BE_VOV;-40;5;23;-18;6;7
08/06/2020;BE_VOV;-10;-6;-3;-35;-35;12
09/06/2020;BE_VOV;-9;0;25;-33;-33;12
10/06/2020;BE_VOV;-11;-6;34;-31;-33;10
11/06/2020;BE_VOV;-9;1;32;-31;-34;12
12/06/2020;BE_VOV;-13;4;19;-30;-32;12
13/06/2020;BE_VOV;-18;-2;48;-14;10;5
14/06/2020;BE_VOV;-13;7;25;-10;27;1
15/06/2020;BE_VOV;-6;-4;49;-29;-34;10
16/06/2020;BE_VOV;-4;4;44;-29;-32;11
17/06/2020;BE_VOV;-16;-6;-1;-32;-32;10
18/06/2020;BE_VOV;-8;1;22;-32;-33;11
19/06/2020;BE_VOV;-10;2;26;-29;-32;10
20/06/2020;BE_VOV;-17;-8;45;-15;9;4
21/06/2020;BE_VOV;-13;0;22;-15;14;2
22/06/2020;BE_VOV;0;-2;59;-27;-35;9
23/06/2020;BE_VOV;3;6;82;-25;-33;8
24/06/2020;BE_VOV;-4;0;73;-25;-31;6
25/06/2020;BE_VOV;-2;7;69;-26;-32;8
26/06/2020;BE_VOV;-13;4;30;-26;-32;9
27/06/2020;BE_VOV;-20;-6;13;-16;4;4
28/06/2020;BE_VOV;-7;1;34;-9;17;1
29/06/2020;BE_VOV;5;1;40;-25;-33;8
30/06/2020;BE_VOV;6;3;23;-26;-32;9
01/07/2020;BE_VOV;-3;-5;22;-27;-33;7
02/07/2020;BE_VOV;0;0;46;-28;-35;9
03/07/2020;BE_VOV;-7;-1;43;-27;-36;7
04/07/2020;BE_VOV;-18;-8;-1;-19;2;4
05/07/2020;BE_VOV;-8;-3;18;-11;10;1
06/07/2020;BE_VOV;0;-5;44;-30;-40;8
07/07/2020;BE_VOV;3;-2;73;-28;-39;7
08/07/2020;BE_VOV;-10;-9;-9;-33;-36;7
09/07/2020;BE_VOV;-3;-2;36;-30;-38;9
10/07/2020;BE_VOV;-10;-1;28;-29;-38;7
11/07/2020;BE_VOV;-20;-15;44;-9;4;1
12/07/2020;BE_VOV;-2;-2;61;-1;15;-3
13/07/2020;BE_VOV;1;-6;94;-30;-46;7
14/07/2020;BE_VOV;-6;-4;19;-38;-46;11
15/07/2020;BE_VOV;-8;-11;38;-34;-41;7
16/07/2020;BE_VOV;-8;-3;23;-37;-45;10
17/07/2020;BE_VOV;-15;-6;42;-34;-45;8
18/07/2020;BE_VOV;-28;-18;55;-15;-1;0
19/07/2020;BE_VOV;-12;-6;48;-8;10;-2
20/07/2020;BE_VOV;9;7;101;-40;-63;10
21/07/2020;BE_VOV;-34;-60;149;-48;-79;16
22/07/2020;BE_VOV;-9;-4;70;-36;-51;7
23/07/2020;BE_VOV;-9;-5;86;-37;-53;10
24/07/2020;BE_VOV;-25;-5;19;-42;-52;12
25/07/2020;BE_VOV;-33;-17;9;-29;-7;5
26/07/2020;BE_VOV;-19;-9;38;-14;11;0
27/07/2020;BE_VOV;-9;-7;54;-43;-55;12
28/07/2020;BE_VOV;-10;-5;62;-43;-54;13
29/07/2020;BE_VOV;-17;-13;68;-39;-51;10
30/07/2020;BE_VOV;-14;-2;72;-42;-54;12
31/07/2020;BE_VOV;-32;-7;42;-44;-54;13
01/08/2020;BE_VOV;-34;-18;32;-27;-4;5
02/08/2020;BE_VOV;-6;-4;51;-12;12;1
03/08/2020;BE_VOV;-7;-5;26;-44;-52;13
04/08/2020;BE_VOV;0;0;95;-39;-49;11
05/08/2020;BE_VOV;-9;-8;81;-36;-46;8
06/08/2020;BE_VOV;-11;-1;74;-41;-49;12
07/08/2020;BE_VOV;-25;-3;43;-43;-48;11
08/08/2020;BE_VOV;-36;-15;31;-29;-5;5
09/08/2020;BE_VOV;-25;1;19;-23;10;1
10/08/2020;BE_VOV;-8;-2;56;-42;-48;10
11/08/2020;BE_VOV;-8;-3;61;-41;-46;11
12/08/2020;BE_VOV;-15;-10;51;-40;-43;9
13/08/2020;BE_VOV;-14;-2;25;-43;-46;12
14/08/2020;BE_VOV;-16;9;22;-41;-45;11
15/08/2020;BE_VOV;-51;-59;33;-31;-17;7
16/08/2020;BE_VOV;-11;11;24;-17;9;1
17/08/2020;BE_VOV;3;8;41;-38;-50;11
18/08/2020;BE_VOV;-1;0;67;-35;-41;10
19/08/2020;BE_VOV;-11;-11;37;-34;-39;8
20/08/2020;BE_VOV;-8;-7;63;-34;-42;9
21/08/2020;BE_VOV;-15;-6;51;-34;-40;9
22/08/2020;BE_VOV;-21;-14;21;-19;1;4
23/08/2020;BE_VOV;-13;-5;19;-17;10;1
24/08/2020;BE_VOV;-2;-4;33;-35;-41;9
25/08/2020;BE_VOV;-2;-2;29;-34;-40;10
26/08/2020;BE_VOV;-8;-9;18;-31;-36;8
27/08/2020;BE_VOV;-3;-3;47;-29;-38;9
28/08/2020;BE_VOV;-10;0;16;-31;-37;10
29/08/2020;BE_VOV;-16;-8;9;-16;1;4
30/08/2020;BE_VOV;-15;-5;-10;-18;8;3
31/08/2020;BE_VOV;10;5;49;-28;-41;9
01/09/2020;BE_VOV;0;6;52;-16;-35;7
02/09/2020;BE_VOV;-5;-3;50;-14;-30;5
03/09/2020;BE_VOV;-10;-1;28;-17;-33;7
04/09/2020;BE_VOV;-11;1;37;-16;-30;5
05/09/2020;BE_VOV;-14;-7;37;-11;3;3
06/09/2020;BE_VOV;2;2;48;1;10;0
07/09/2020;BE_VOV;-5;-1;46;-17;-34;5
08/09/2020;BE_VOV;-9;0;36;-16;-33;5
09/09/2020;BE_VOV;-8;-4;42;-15;-28;4
10/09/2020;BE_VOV;-8;-3;51;-13;-30;5
11/09/2020;BE_VOV;-11;0;47;-13;-29;4
12/09/2020;BE_VOV;-16;-6;49;-7;4;1
13/09/2020;BE_VOV;1;3;61;6;10;-2
14/09/2020;BE_VOV;-5;-3;67;-12;-25;3
15/09/2020;BE_VOV;-8;-1;74;-12;-25;4
16/09/2020;BE_VOV;-9;-6;57;-11;-24;3
17/09/2020;BE_VOV;-11;-4;54;-12;-26;5
18/09/2020;BE_VOV;-12;-1;46;-11;-24;4
19/09/2020;BE_VOV;-16;-9;57;-6;2;1
20/09/2020;BE_VOV;1;5;61;14;9;-1
21/09/2020;BE_VOV;-4;0;64;-8;-26;4
22/09/2020;BE_VOV;-8;0;59;-9;-24;5
23/09/2020;BE_VOV;-12;-2;19;-11;-21;5
24/09/2020;BE_VOV;-15;-2;8;-12;-23;7
25/09/2020;BE_VOV;-20;0;-18;-10;-22;7
26/09/2020;BE_VOV;-24;-7;-28;-27;-3;7
27/09/2020;BE_VOV;-19;-8;-15;-17;3;4
28/09/2020;BE_VOV;-16;-3;-15;-16;-24;8
29/09/2020;BE_VOV;-9;4;28;-10;-21;6
30/09/2020;BE_VOV;-8;0;20;-9;-19;5
01/10/2020;BE_VOV;-13;1;2;-10;-19;7
02/10/2020;BE_VOV;-14;5;-11;-11;-22;7
03/10/2020;BE_VOV;-13;0;-4;-15;1;4
04/10/2020;BE_VOV;-6;-8;-6;-11;7;3
05/10/2020;BE_VOV;-8;1;9;-15;-26;7
06/10/2020;BE_VOV;-11;3;16;-11;-20;6
07/10/2020;BE_VOV;-11;-1;11;-11;-17;5
08/10/2020;BE_VOV;-15;-1;-4;-12;-19;7
09/10/2020;BE_VOV;-16;3;9;-14;-19;7
10/10/2020;BE_VOV;-18;-3;3;-16;2;5
11/10/2020;BE_VOV;-19;-7;-6;-14;5;4
12/10/2020;BE_VOV;-12;2;15;-15;-21;7
13/10/2020;BE_VOV;-16;2;-5;-17;-20;8
14/10/2020;BE_VOV;-12;-1;9;-14;-17;7
15/10/2020;BE_VOV;-16;1;9;-12;-19;8
16/10/2020;BE_VOV;-17;6;4;-10;-18;8
17/10/2020;BE_VOV;-16;-1;24;-8;2;6
18/10/2020;BE_VOV;-14;-7;10;-4;4;5
19/10/2020;BE_VOV;-30;2;15;-20;-23;10
20/10/2020;BE_VOV;-32;3;-4;-25;-25;11
21/10/2020;BE_VOV;-32;0;-3;-21;-23;11
22/10/2020;BE_VOV;-34;5;11;-20;-24;12
23/10/2020;BE_VOV;-39;10;7;-17;-24;13
24/10/2020;BE_VOV;-40;1;6;-20;-10;11
25/10/2020;BE_VOV;-45;2;8;-18;-11;8
26/10/2020;BE_VOV;-31;1;4;-25;-25;11
27/10/2020;BE_VOV;-32;4;-10;-27;-26;12
28/10/2020;BE_VOV;-33;-2;-20;-28;-25;12
29/10/2020;BE_VOV;-36;6;-21;-30;-28;15
30/10/2020;BE_VOV;-32;19;-13;-27;-28;15
31/10/2020;BE_VOV;-35;0;14;-23;-15;11
01/11/2020;BE_VOV;-52;-13;-14;-35;-19;10
02/11/2020;BE_VOV;-57;-15;-2;-60;-64;23
03/11/2020;BE_VOV;-50;-3;31;-54;-52;20
04/11/2020;BE_VOV;-52;-13;45;-49;-49;17
05/11/2020;BE_VOV;-51;-3;47;-50;-52;20
06/11/2020;BE_VOV;-55;1;33;-48;-51;21
07/11/2020;BE_VOV;-58;-12;56;-33;-20;13
08/11/2020;BE_VOV;-52;-8;51;-24;-16;9
09/11/2020;BE_VOV;-45;-5;39;-50;-49;18
10/11/2020;BE_VOV;-44;13;-3;-51;-49;19
11/11/2020;BE_VOV;-67;-58;84;-58;-81;26
12/11/2020;BE_VOV;-47;11;17;-48;-49;20
13/11/2020;BE_VOV;-55;4;-14;-49;-47;22
14/11/2020;BE_VOV;-57;-6;38;-32;-17;13
15/11/2020;BE_VOV;-64;-13;-44;-44;-19;12
16/11/2020;BE_VOV;-48;-4;-8;-39;-31;15
17/11/2020;BE_VOV;-48;-1;3;-40;-30;15
18/11/2020;BE_VOV;-46;-6;44;-33;-29;13
19/11/2020;BE_VOV;-53;-5;-22;-40;-31;17
20/11/2020;BE_VOV;-53;5;-6;-36;-29;17
21/11/2020;BE_VOV;-56;-5;10;-36;-15;14
22/11/2020;BE_VOV;-60;-9;-25;-38;-16;11
23/11/2020;BE_VOV;-46;-5;9;-38;-30;14
24/11/2020;BE_VOV;-46;1;11;-38;-29;14
25/11/2020;BE_VOV;-46;-6;15;-36;-28;13
26/11/2020;BE_VOV;-49;0;-1;-36;-29;16
27/11/2020;BE_VOV;-51;7;-10;-35;-28;17
28/11/2020;BE_VOV;-55;-5;38;-27;-13;13
29/11/2020;BE_VOV;-56;-6;3;-27;-14;9
30/11/2020;BE_VOV;-48;-6;-20;-40;-29;14
01/12/2020;BE_VOV;-34;7;-5;-35;-27;14
02/12/2020;BE_VOV;-33;3;-2;-32;-24;13
03/12/2020;BE_VOV;-39;7;-18;-34;-26;16
04/12/2020;BE_VOV;-40;14;-14;-30;-25;16
05/12/2020;BE_VOV;-43;3;-2;-32;-9;13
06/12/2020;BE_VOV;-49;-5;3;-32;-10;9
07/12/2020;BE_VOV;-34;1;-10;-35;-27;14
08/12/2020;BE_VOV;-32;8;10;-32;-25;14
09/12/2020;BE_VOV;-37;-2;-11;-34;-24;13
10/12/2020;BE_VOV;-38;4;2;-31;-26;15
11/12/2020;BE_VOV;-43;7;-31;-33;-26;17
12/12/2020;BE_VOV;-45;1;-13;-36;-9;13
13/12/2020;BE_VOV;-46;0;13;-25;-10;9
14/12/2020;BE_VOV;-30;4;0;-33;-29;14
15/12/2020;BE_VOV;-29;11;6;-35;-32;14
16/12/2020;BE_VOV;-30;5;11;-36;-33;13
17/12/2020;BE_VOV;-32;9;11;-36;-35;16
18/12/2020;BE_VOV;-38;13;5;-34;-32;17
19/12/2020;BE_VOV;-44;1;-15;-34;-9;13
20/12/2020;BE_VOV;-39;11;27;-21;-7;8
21/12/2020;BE_VOV;-27;10;-29;-54;-53;19
22/12/2020;BE_VOV;-19;29;15;-48;-53;18
23/12/2020;BE_VOV;-24;30;-16;-48;-52;17
24/12/2020;BE_VOV;-34;30;-33;-54;-66;22
25/12/2020;BE_VOV;-82;-80;-6;-71;-85;31
26/12/2020;BE_VOV;-55;-12;-9;-41;-22;14
27/12/2020;BE_VOV;-65;-18;-65;-52;-19;13
28/12/2020;BE_VOV;-21;17;32;-50;-64;21
29/12/2020;BE_VOV;-20;27;42;-48;-64;21
30/12/2020;BE_VOV;-23;30;33;-44;-61;18
31/12/2020;BE_VOV;-32;35;3;-54;-69;23
01/01/2021;BE_VOV;-81;-84;-6;-70;-83;29
02/01/2021;BE_VOV;-54;-10;7;-38;-19;14
03/01/2021;BE_VOV;-55;-6;-6;-38;-12;10
04/01/2021;BE_VOV;-33;6;-23;-38;-28;14
05/01/2021;BE_VOV;-36;5;-14;-38;-28;14
06/01/2021;BE_VOV;-34;0;-15;-36;-26;13
07/01/2021;BE_VOV;-42;-4;-27;-37;-28;16
08/01/2021;BE_VOV;-44;4;-24;-34;-25;16
09/01/2021;BE_VOV;-41;2;14;-29;-6;12
10/01/2021;BE_VOV;-50;-5;20;-31;-7;9
11/01/2021;BE_VOV;-35;-2;-13;-35;-27;13
12/01/2021;BE_VOV;-38;1;-12;-36;-28;14
13/01/2021;BE_VOV;-39;-4;-12;-35;-27;12
14/01/2021;BE_VOV;-49;-9;-29;-39;-30;16
15/01/2021;BE_VOV;-46;4;-20;-35;-27;15
16/01/2021;BE_VOV;-51;-9;-5;-38;-12;14
17/01/2021;BE_VOV;-54;-10;-2;-34;-10;9
18/01/2021;BE_VOV;-38;-4;-8;-36;-29;12
19/01/2021;BE_VOV;-42;-4;-22;-39;-30;14
20/01/2021;BE_VOV;-40;-4;-6;-36;-27;12
21/01/2021;BE_VOV;-45;-5;-16;-36;-29;15
22/01/2021;BE_VOV;-45;4;-4;-32;-26;15
23/01/2021;BE_VOV;-45;-3;-16;-31;-7;12
24/01/2021;BE_VOV;-53;-8;5;-31;-9;9
25/01/2021;BE_VOV;-36;-3;5;-35;-30;13
26/01/2021;BE_VOV;-38;0;11;-34;-29;13
27/01/2021;BE_VOV;-40;-4;-11;-35;-28;13
28/01/2021;BE_VOV;-42;0;-16;-34;-30;15
29/01/2021;BE_VOV;-43;8;-10;-33;-28;15
30/01/2021;BE_VOV;-46;-2;-41;-35;-8;13
31/01/2021;BE_VOV;-50;-9;12;-20;-6;8
01/02/2021;BE_VOV;-38;-2;-9;-35;-29;12
02/02/2021;BE_VOV;-39;2;-13;-35;-29;13
03/02/2021;BE_VOV;-41;-7;-29;-37;-28;13
04/02/2021;BE_VOV;-41;2;10;-31;-28;13
05/02/2021;BE_VOV;-44;10;0;-31;-26;14
06/02/2021;BE_VOV;-42;5;-11;-28;-5;11
07/02/2021;BE_VOV;-57;-14;2;-30;-13;10
08/02/2021;BE_VOV;-44;-8;-11;-43;-41;17
09/02/2021;BE_VOV;-40;4;7;-44;-40;17
10/02/2021;BE_VOV;-38;2;-2;-41;-36;15
11/02/2021;BE_VOV;-41;5;3;-41;-38;17
12/02/2021;BE_VOV;-43;8;-14;-38;-36;18
13/02/2021;BE_VOV;-37;5;26;-28;-9;11
14/02/2021;BE_VOV;-40;1;36;-18;-3;7
15/02/2021;BE_VOV;-32;-1;-15;-43;-45;16
16/02/2021;BE_VOV;-28;7;20;-38;-43;15
17/02/2021;BE_VOV;-31;1;30;-34;-39;12
18/02/2021;BE_VOV;-36;5;-5;-38;-43;17
19/02/2021;BE_VOV;-37;14;20;-31;-42;16
20/02/2021;BE_VOV;-39;4;68;-11;-3;9
21/02/2021;BE_VOV;-35;16;95;11;1;3
22/02/2021;BE_VOV;-31;5;19;-27;-25;11
23/02/2021;BE_VOV;-28;10;42;-24;-25;11
24/02/2021;BE_VOV;-26;7;80;-19;-23;9
25/02/2021;BE_VOV;-34;9;12;-23;-25;13
26/02/2021;BE_VOV;-36;18;8;-20;-23;13
27/02/2021;BE_VOV;-37;8;1;-20;-2;10
28/02/2021;BE_VOV;-37;12;56;1;2;6
01/03/2021;BE_VOV;-29;9;10;-27;-25;11
02/03/2021;BE_VOV;-26;12;45;-24;-24;11
03/03/2021;BE_VOV;-25;8;40;-22;-23;10
04/03/2021;BE_VOV;-37;9;-25;-29;-25;14
05/03/2021;BE_VOV;-36;19;4;-20;-23;13
06/03/2021;BE_VOV;-34;11;24;-19;0;10
07/03/2021;BE_VOV;-36;13;37;-7;1;6
08/03/2021;BE_VOV;-26;11;19;-26;-25;11
09/03/2021;BE_VOV;-30;11;-7;-27;-25;12
10/03/2021;BE_VOV;-30;8;-12;-28;-23;11
11/03/2021;BE_VOV;-38;7;-26;-28;-25;14
12/03/2021;BE_VOV;-40;16;-24;-25;-24;14
13/03/2021;BE_VOV;-38;9;-32;-31;-2;12
14/03/2021;BE_VOV;-43;6;-2;-18;1;8
15/03/2021;BE_VOV;-30;9;-6;-27;-25;12
16/03/2021;BE_VOV;-33;9;-24;-29;-25;13
17/03/2021;BE_VOV;-31;6;-11;-27;-23;12
18/03/2021;BE_VOV;-36;9;-13;-26;-24;14
19/03/2021;BE_VOV;-36;18;20;-19;-23;13
20/03/2021;BE_VOV;-36;8;33;-17;0;10
21/03/2021;BE_VOV;-43;11;4;-14;-1;7
22/03/2021;BE_VOV;-30;10;11;-26;-25;12
23/03/2021;BE_VOV;-26;15;38;-24;-24;12
24/03/2021;BE_VOV;-18;14;53;-19;-23;10
25/03/2021;BE_VOV;-24;18;19;-21;-25;13
26/03/2021;BE_VOV;-28;23;10;-20;-24;14
27/03/2021;BE_VOV;-51;4;8;-29;-3;12
28/03/2021;BE_VOV;-47;2;33;-8;-2;7
29/03/2021;BE_VOV;-32;6;98;-44;-41;15
30/03/2021;BE_VOV;-28;16;136;-27;-37;13
31/03/2021;BE_VOV;-30;11;113;-28;-36;11
01/04/2021;BE_VOV;-34;18;65;-32;-38;15
02/04/2021;BE_VOV;-41;24;10;-37;-38;17
03/04/2021;BE_VOV;-43;17;13;-28;-6;10
04/04/2021;BE_VOV;-49;-3;3;-24;-3;7
05/04/2021;BE_VOV;-67;-59;5;-65;-83;27
06/04/2021;BE_VOV;-34;26;-15;-48;-50;18
07/04/2021;BE_VOV;-38;8;1;-45;-46;16
08/04/2021;BE_VOV;-33;17;55;-38;-47;17
09/04/2021;BE_VOV;-40;18;45;-38;-46;17
10/04/2021;BE_VOV;-50;4;-45;-41;-11;13
11/04/2021;BE_VOV;-47;7;17;-22;-2;7
12/04/2021;BE_VOV;-30;10;26;-42;-44;15
13/04/2021;BE_VOV;-28;16;69;-36;-42;14
14/04/2021;BE_VOV;-34;5;40;-37;-40;12
15/04/2021;BE_VOV;-35;13;45;-36;-42;16
16/04/2021;BE_VOV;-41;17;43;-37;-41;16
17/04/2021;BE_VOV;-42;8;55;-22;-1;9
18/04/2021;BE_VOV;-36;19;66;-5;4;5
19/04/2021;BE_VOV;-32;13;29;-25;-24;12
20/04/2021;BE_VOV;-29;18;60;-22;-23;11
21/04/2021;BE_VOV;-29;13;59;-22;-22;10
22/04/2021;BE_VOV;-34;17;49;-20;-23;12
23/04/2021;BE_VOV;-38;23;50;-19;-21;12
24/04/2021;BE_VOV;-39;14;56;-20;3;9
25/04/2021;BE_VOV;-37;21;52;-8;5;5
26/04/2021;BE_VOV;-19;15;53;-21;-24;11
27/04/2021;BE_VOV;-18;19;81;-19;-23;10
28/04/2021;BE_VOV;-19;16;63;-18;-21;9
29/04/2021;BE_VOV;-29;24;7;-24;-23;13
30/04/2021;BE_VOV;-25;48;26;-17;-22;11
01/05/2021;BE_VOV;-59;-44;44;-28;-18;11
02/05/2021;BE_VOV;-30;37;45;-4;6;5
03/05/2021;BE_VOV;-12;32;40;-21;-28;11
04/05/2021;BE_VOV;-22;22;-4;-25;-23;13
05/05/2021;BE_VOV;-16;22;19;-20;-21;10
06/05/2021;BE_VOV;-23;24;14;-20;-22;12
07/05/2021;BE_VOV;-23;33;39;-14;-20;11
08/05/2021;BE_VOV;-12;19;19;-9;7;6
09/05/2021;BE_VOV;-4;19;31;3;21;1
10/05/2021;BE_VOV;-11;13;41;-15;-23;10
11/05/2021;BE_VOV;-10;22;31;-15;-21;10
12/05/2021;BE_VOV;7;39;67;-3;-21;5
13/05/2021;BE_VOV;-35;-48;97;-39;-80;22
14/05/2021;BE_VOV;-7;36;46;-30;-62;18
15/05/2021;BE_VOV;-25;9;2;-18;-5;8
16/05/2021;BE_VOV;-26;14;-1;-7;7;5
17/05/2021;BE_VOV;-13;22;18;-15;-21;10
18/05/2021;BE_VOV;-9;25;49;-11;-18;9
19/05/2021;BE_VOV;-12;20;23;-15;-17;9
20/05/2021;BE_VOV;-12;22;45;-13;-18;10
21/05/2021;BE_VOV;-19;31;15;-12;-18;10
22/05/2021;BE_VOV;-27;21;-31;-27;3;10
23/05/2021;BE_VOV;-7;18;52;2;8;3
24/05/2021;BE_VOV;-46;-50;23;-56;-81;25
25/05/2021;BE_VOV;-9;43;9;-14;-19;10
26/05/2021;BE_VOV;-9;24;31;-14;-16;8
27/05/2021;BE_VOV;-11;25;35;-14;-17;10
28/05/2021;BE_VOV;-7;30;64;-5;-14;8
29/05/2021;BE_VOV;-11;20;69;-4;14;4
30/05/2021;BE_VOV;6;33;82;14;18;1
31/05/2021;BE_VOV;6;26;81;-9;-19;7
01/06/2021;BE_VOV;9;35;103;-5;-17;7
02/06/2021;BE_VOV;6;30;87;-8;-15;6
03/06/2021;BE_VOV;-3;31;55;-10;-16;9
04/06/2021;BE_VOV;-12;32;26;-10;-14;10
05/06/2021;BE_VOV;-13;22;15;-15;13;7
06/06/2021;BE_VOV;14;33;83;13;19;1
07/06/2021;BE_VOV;7;29;75;-10;-17;7
08/06/2021;BE_VOV;8;34;80;-8;-16;8
09/06/2021;BE_VOV;13;27;80;-6;-14;6
10/06/2021;BE_VOV;6;31;69;-6;-16;8
11/06/2021;BE_VOV;4;35;61;-4;-15;6
12/06/2021;BE_VOV;-5;21;49;-4;13;3
13/06/2021;BE_VOV;8;30;52;14;18;-1
14/06/2021;BE_VOV;7;26;70;-8;-19;7
15/06/2021;BE_VOV;9;32;71;-8;-17;8
16/06/2021;BE_VOV;5;24;73;-9;-16;6
17/06/2021;BE_VOV;-1;25;44;-12;-18;9
18/06/2021;BE_VOV;-1;27;46;-9;-17;7
19/06/2021;BE_VOV;-8;14;26;-10;10;4
20/06/2021;BE_VOV;7;20;35;3;15;1
21/06/2021;BE_VOV;5;23;11;-14;-21;9
22/06/2021;BE_VOV;4;26;19;-13;-20;9
23/06/2021;BE_VOV;11;23;54;-10;-20;5
24/06/2021;BE_VOV;9;24;63;-11;-26;8
25/06/2021;BE_VOV;0;25;24;-16;-26;7
26/06/2021;BE_VOV;-4;14;36;0;13;2
27/06/2021;BE_VOV;10;23;24;12;17;-1
28/06/2021;BE_VOV;10;24;54;-17;-29;7
29/06/2021;BE_VOV;12;29;55;-17;-26;6
30/06/2021;BE_VOV;7;18;25;-18;-23;4
01/07/2021;BE_VOV;13;27;55;-18;-32;8
